Roll,Main Subject Code,Optional
321,269/270/109/110/271/272,273/274
322,269/270/109/110/267/268,273/274
323,269/270/109/110/121/122,273/274
324,269/270/109/110/271/272,273/274
325,269/270/109/110/271/272,273/274
326,269/270/267/268/271/272,273/274
327,269/270/267/268/271/272,273/274
328,269/270/109/110/271/272,273/274
329,269/270/267/268/271/272,273/274
330,269/270/109/110/267/268,121/122
331,269/270/109/110/267/268,273/274
332,269/270/109/110/267/268,273/274
333,269/270/109/110/271/272,273/274
334,269/270/109/110/267/268,273/274
335,269/270/109/110/267/268,273/274
336,269/270/109/110/267/268,273/274
337,269/270/109/110/271/272,273/274
338,269/270/109/110/271/272,273/274
339,269/270/267/268/271/272,273/274
340,269/270/109/110/271/272,273/274
341,269/270/109/110/267/268,273/274
342,269/270/271/272,273/274
343,269/270/271/272,273/274
344,269/270/267/268,121/122
345,269/270/109/110/121/122,273/274
346,269/270/267/268/121/122,273/274
347,269/270/121/122,273/274
348,269/270/267/268/271/272,121/122
349,269/270/109/110/121/122,273/274
350,269/270/109/110/267/268,273/274
351,269/270/109/110/267/268,273/274
352,269/270/109/110/267/268,121/122
353,269/270/109/110/267/268,273/274
354,269/270/267/268,273/274
355,269/270/267/268,273/274
356,269/270/271/272,273/274
357,269/270/271/272,273/274
358,269/270/271/272,273/274
359,269/270/267/268,273/274
360,269/270/109/110/267/268,273/274
361,269/270/267/268,273/274
362,269/270/271/272,273/274
363,269/270/267/268/271/272,273/274
364,269/270/271/272/267/268,273/274
365,269/270/109/110/271/272,273/274
366,269/270/267/268,273/274
367,269/270/109/110/267/268,273/274
368,269/270/109/110/267/268,273/274
369,269/270/109/110,273/274
370,269/270/109/110/267/268,273/274
371,269/270/271/272,273/274
372,269/270/267/268/271/272,121/122
373,269/270/109/110/267/268,273/274
374,269/270/109/110/267/268,121/122
375,269/270/109/110/267/268,121/122
376,269/270/271/272,121/122
377,269/270/271/272,273/274
378,269/270/109/110/267/268,273/274
379,269/270/109/110/271/272,273/274
380,269/270/121/122/271/272,273/274
381,269/270/109/110/271/272,273/274
382,269/270/109/110/271/272,273/274
383,269/270/271/272,121/122
384,269/270/109/110/271/272,273/274
385,269/270/267/268,273/274
